epoch,spk_reliance,step,text_reliance,train_loss,val_loss
0,0.10669124126434326,1502,0.3487844467163086,,7.513669967651367
0,,1502,,6.534515380859375,
1,0.09171825647354126,3005,0.32849597930908203,,7.557791709899902
1,,3005,,6.433664798736572,
2,0.08187538385391235,4508,0.3473328948020935,,7.5898356437683105
2,,4508,,6.3424224853515625,
3,0.09909331798553467,6011,0.34081774950027466,,7.640979290008545
3,,6011,,6.255014896392822,
4,0.10392141342163086,7514,0.36988139152526855,,7.681800365447998
4,,7514,,6.1704583168029785,
5,0.10847347974777222,9017,0.38066405057907104,,7.731391429901123
5,,9017,,6.0901265144348145,
6,0.08473479747772217,9018,0.22657239437103271,,7.508677005767822
